0;0;0;0;land;false;unknown;0
1;132;249;173;land;true;plains;1
2;178;236;211;land;false;desert;1
3;156;253;174;land;false;mountain;1
4;57;217;245;land;false;mountain;1
5;179;243;238;land;false;desert;1
6;205;216;234;land;false;mountain;1
7;40;212;254;land;false;desert;1
8;133;240;145;land;false;mountain;1
9;98;230;237;land;false;mountain;1
10;234;222;166;land;false;mountain;1
11;235;251;17;land;false;plains;1
12;177;151;239;land;false;forest;1
13;183;245;209;land;false;plains;1
14;160;216;170;land;true;mountain;1
15;204;186;203;land;false;plains;1
16;167;247;240;land;false;urban;1
17;106;196;245;land;false;jungle;1
18;216;61;240;land;false;desert;1
19;93;242;200;land;false;desert;1
20;164;226;146;land;false;mountain;1
21;100;198;246;land;false;plains;1
22;39;246;242;land;false;mountain;1
23;223;227;169;land;false;desert;1
24;212;175;217;land;true;plains;1
25;184;181;205;land;false;desert;1
26;253;142;156;land;true;plains;1
27;178;246;210;land;false;mountain;1
28;144;144;213;land;false;mountain;1
29;252;93;160;land;true;plains;1
30;201;215;138;land;false;plains;1
31;226;162;232;land;false;plains;1
32;204;79;247;land;true;plains;1
33;166;241;167;land;false;desert;1
34;252;236;192;land;true;plains;1
35;228;68;233;land;false;mountain;1
36;217;208;138;land;false;forest;1
37;237;167;250;land;false;plains;1
38;169;107;252;land;false;plains;1
39;134;210;158;land;false;desert;1
40;200;171;161;land;false;plains;1
41;200;140;221;land;true;plains;1
42;214;65;238;land;false;forest;1
43;240;130;229;land;false;mountain;1
44;167;214;193;land;false;mountain;1
45;248;221;175;land;false;mountain;1
46;241;164;128;land;false;mountain;1
47;222;72;239;land;false;desert;1
48;155;213;210;land;true;desert;1
49;161;203;207;land;false;mountain;1
50;233;187;234;land;true;desert;1
51;236;171;128;land;false;plains;1
52;239;145;215;land;false;plains;1
53;100;186;236;land;false;forest;1
54;224;230;62;land;true;plains;1
55;253;223;202;land;false;plains;1
56;220;185;221;land;false;plains;1
57;249;159;113;land;false;desert;1
58;179;197;168;land;false;desert;1
59;201;126;229;land;false;plains;1
60;196;219;165;land;false;mountain;1
61;195;93;250;land;true;plains;1
62;155;212;247;land;false;plains;1
63;43;248;241;land;true;plains;1
64;191;183;224;land;false;mountain;1
65;158;198;172;land;false;desert;1
66;73;205;242;land;false;desert;1
67;173;225;119;land;false;mountain;1
68;252;147;151;land;true;jungle;1
69;228;245;107;land;false;desert;1
70;137;252;195;land;false;desert;1
71;251;128;146;land;false;desert;1
72;137;169;240;land;false;desert;1
73;169;208;154;land;false;plains;1
74;231;176;104;land;false;plains;1
75;182;211;232;land;false;desert;1
76;235;114;214;land;false;hills;1
77;180;241;253;land;false;plains;1
78;244;216;108;land;false;desert;1
79;158;164;221;land;true;desert;1
80;198;131;249;land;false;desert;1
81;228;211;124;land;true;plains;1
82;191;213;208;land;false;plains;1
83;248;234;171;land;false;mountain;1
84;222;232;59;land;false;forest;1
85;179;191;209;land;false;desert;1
86;173;225;179;land;false;desert;1
87;242;206;62;land;true;desert;1
88;162;154;193;land;true;desert;1
89;183;170;204;land;true;plains;1
90;144;225;191;land;false;desert;1
91;169;176;230;land;true;plains;1
92;239;190;228;land;false;plains;1
93;166;188;228;land;false;plains;1
94;142;250;111;land;false;plains;1
95;81;216;251;land;false;desert;1
96;173;230;215;land;false;hills;1
97;97;227;212;land;false;mountain;1
98;224;140;186;land;false;desert;1
99;170;199;196;land;false;desert;1
100;238;249;36;land;false;plains;1
101;186;249;137;land;false;desert;1
102;90;234;208;land;false;plains;1
103;216;238;223;land;false;hills;1
104;251;165;123;land;false;desert;1
105;223;144;146;land;false;jungle;1
106;222;64;252;land;false;plains;1
107;254;233;144;land;false;desert;1
108;203;129;207;land;false;mountain;1
109;176;237;89;land;false;mountain;1
110;208;197;118;land;false;desert;1
111;198;180;229;land;true;desert;1
112;245;110;168;land;true;plains;1
113;247;109;250;land;false;hills;1
114;120;220;190;land;false;mountain;1
115;164;179;161;land;false;desert;1
116;158;243;105;land;true;plains;1
117;218;215;227;land;true;jungle;1
118;82;244;217;land;false;desert;1
119;154;203;245;land;false;mountain;1
120;243;95;232;land;false;desert;1
121;178;219;125;land;false;desert;1
122;232;251;38;land;false;mountain;1
123;241;92;241;land;false;hills;1
124;87;219;225;land;false;desert;1
125;59;249;233;land;false;hills;1
126;253;73;253;land;false;forest;1
127;209;220;134;land;false;desert;1
128;247;179;244;land;false;mountain;1
129;248;152;174;land;false;mountain;1
130;165;213;174;land;false;mountain;1
131;90;172;243;land;false;jungle;1
132;220;213;245;land;false;hills;1
133;232;96;177;land;false;plains;1
134;195;122;211;land;true;desert;1
135;146;240;252;land;false;urban;1
136;147;141;240;land;false;jungle;1
137;141;242;246;land;true;mountain;1
138;48;247;249;land;true;forest;1
139;135;217;219;land;false;forest;1
140;141;115;251;land;false;mountain;1
141;140;230;212;land;false;plains;1
142;79;248;185;land;false;mountain;1
143;154;227;153;land;false;desert;1
144;148;206;205;land;false;jungle;1
145;123;175;230;land;false;mountain;1
146;202;145;243;land;false;desert;1
147;234;92;253;land;true;plains;1
148;159;238;177;land;false;plains;1
149;242;215;151;land;false;desert;1
150;125;232;188;land;true;plains;1
151;220;144;210;land;true;plains;1
152;129;215;212;land;false;mountain;1
153;199;223;150;land;false;mountain;1
154;215;229;193;land;false;mountain;1
155;148;207;228;land;false;plains;1
156;219;161;147;land;true;plains;1
157;229;163;236;land;false;mountain;1
158;44;239;247;land;false;jungle;1
159;181;211;181;land;false;plains;1
160;238;101;185;land;false;jungle;1
161;253;152;190;land;true;desert;1
162;145;234;181;land;false;mountain;1
163;251;248;143;land;false;plains;1
164;232;243;31;land;false;desert;1
165;238;89;228;land;false;jungle;1
166;115;205;201;land;true;plains;1
167;134;188;253;land;false;desert;1
168;119;228;155;land;false;mountain;1
169;163;213;160;land;true;plains;1
170;192;208;133;land;false;jungle;1
171;246;41;250;land;false;mountain;1
172;215;235;242;land;false;mountain;1
173;254;109;241;land;false;desert;1
174;120;229;162;land;false;desert;1
175;218;130;225;land;false;hills;1
176;148;157;203;land;false;mountain;1
177;246;182;232;land;true;plains;1
178;207;233;232;land;true;plains;1
