22;arms_factory;2949.00;10.00;1413.00;6.21;0
22;arms_factory;2951.00;9.90;1398.00;2.59;0
22;arms_factory;2949.00;10.00;1421.00;4.15;0
22;arms_factory;2951.00;10.00;1420.00;0.53;0
22;arms_factory;2958.00;10.00;1403.00;4.66;0
22;arms_factory;2944.00;10.10;1426.00;1.04;0
22;industrial_complex;2945.00;9.80;1399.00;2.59;0
22;industrial_complex;2943.00;9.90;1408.00;0.44;0
22;industrial_complex;2950.00;9.85;1400.00;3.10;0
22;industrial_complex;2953.00;10.00;1414.00;4.66;0
22;industrial_complex;2948.00;9.80;1396.00;1.04;0
22;industrial_complex;2949.00;10.00;1422.00;5.16;0
22;air_base;2950.75;10.00;1409.70;0.09;0
22;supply_node;2951.00;10.00;1414.00;0.30;0
22;supply_node;2939.00;10.00;1422.00;4.34;0
22;supply_node;2956.00;9.98;1400.00;1.00;0
22;supply_node;2942.00;9.82;1407.00;2.48;0
22;supply_node;2948.00;9.80;1394.00;0.23;0
22;naval_base;2932.00;9.60;1422.00;-1.98;6106
22;naval_base;2950.00;9.60;1387.00;-1.11;5801
22;naval_base;2942.00;9.57;1400.00;-1.11;5801
22;bunker;2935.00;9.90;1417.00;4.83;0
22;bunker;2957.00;10.00;1400.00;2.66;0
22;bunker;2942.00;9.90;1411.00;5.33;0
22;bunker;2945.00;9.93;1413.00;2.06;0
22;bunker;2951.00;9.90;1395.00;3.27;0
22;coastal_bunker;2932.00;9.50;1424.00;-1.98;0
22;coastal_bunker;2946.00;9.50;1395.00;-1.11;0
22;coastal_bunker;2936.00;9.50;1412.00;-1.11;0
22;dockyard;2947.00;9.50;1393.00;-1.11;0
22;anti_air_building;2964.00;10.00;1400.00;5.84;0
22;anti_air_building;2953.36;9.90;1417.12;2.22;0
22;anti_air_building;2947.00;9.80;1398.00;3.78;0
22;synthetic_refinery;2944.00;10.00;1423.00;1.62;0
22;fuel_silo;2933.00;9.85;1417.00;2.83;0
22;radar_station;2948.00;10.00;1410.00;4.42;0
22;rocket_site;2947.58;10.00;1417.16;2.23;0
22;nuclear_reactor;2944.00;10.00;1422.00;4.89;0
22;floating_harbor;2925.57;9.50;1427.76;1.17;2187
22;floating_harbor;2939.00;9.50;1384.00;-3.19;3512
22;floating_harbor;2939.74;9.50;1389.87;-4.25;4150
2;arms_factory;2796.00;10.18;1416.00;5.91;0
2;arms_factory;2785.00;10.15;1429.00;6.01;0
2;arms_factory;2794.00;10.32;1416.00;3.85;0
2;arms_factory;2784.00;10.23;1429.00;1.69;0
2;arms_factory;2801.00;10.00;1414.00;2.90;0
2;arms_factory;2782.00;10.32;1429.00;5.91;0
2;industrial_complex;2764.00;9.93;1413.00;2.29;0
2;industrial_complex;2777.00;10.40;1424.00;4.96;0
2;industrial_complex;2762.00;10.00;1413.00;1.34;0
2;industrial_complex;2775.00;10.35;1424.00;4.36;0
